text;cleaned_array;cleaned_text;label;topic_name;tsne-2d-one;tsne-2d-two
чего там надо платить за роуминг?;['платить', 'роуминг'];платить роуминг;2;costs;0.05810446;-5.068014
сколько я проговорил минут в этом месяце на тарифе Плутон. Можешь помочь?;['сколько', 'проговорить', 'минута', 'это', 'месяц', 'тариф', 'плутон', 'мочь', 'помочь'];сколько проговорить минута это месяц тариф плутон мочь помочь;5;tariffs;-7.89392;-3.5045717
не могли бы вы мне пин напомнить?;['мочь', 'пин', 'напомнить'];мочь пин напомнить;4;pin-codes;13.079419;-8.68287
да, спасибо! а какой пин для настроек интернета у нас?;['спасибо', 'пин', 'настройка', 'интернет'];спасибо пин настройка интернет;4;pin-codes;15.7812805;-2.3937612
а откуда брать пин для телефона;['откуда', 'брать', 'пин', 'телефон'];откуда брать пин телефон;4;pin-codes;9.717845;-10.862533
сколько там у меня еще осталось времени на разговор подскажите;['сколько', 'ещё', 'остаться', 'время', 'разговор', 'подсказать'];сколько ещё остаться время разговор подсказать;6;balance_2;-4.205551;7.2681885
Здравствуйте. Почему симка не регистрируется в сети???????;['здравствуйте', 'почему', 'симка', 'регистрироваться', 'сеть'];здравствуйте почему симка регистрироваться сеть;3;sim-cards;8.684917;-0.9858533
В тарифе Юпитер цена на звонки другим абонентам других операторов?;['тариф', 'юпитер', 'цена', 'звонок', 'абонент', 'оператор'];тариф юпитер цена звонок абонент оператор;5;tariffs;-14.143442;-8.029912
Добрый день, мне бы хотелось позвонить за границу и я хотел бы уточнить стоимость минуты разговора.;['добрый', 'день', 'хотеться', 'позвонить', 'граница', 'хотеть', 'уточнить', 'стоимость', 'минута', 'разговор'];добрый день хотеться позвонить граница хотеть уточнить стоимость минута разговор;2;costs;1.7711018;3.4348936
Телефон не ловит сеть. 3G/4G телефон поддерживает;['телефон', 'ловить', 'сеть', 'g', 'g', 'телефон', 'поддерживать'];телефон ловить сеть g g телефон поддерживать;3;sim-cards;6.9319763;1.901229
Какова плата за звонки на ТП Плутон?;['каков', 'плата', 'звонок', 'тп', 'плутон'];каков плата звонок тп плутон;5;tariffs;-8.4165945;-11.547997
у меня проблема с сим-картой, что делать??;['проблема', 'сим', 'карта', 'делать'];проблема сим карта делать;3;sim-cards;9.609584;12.818074
Как понять что с симкартой? НЕ работает ничего;['понять', 'симкарта', 'работать'];понять симкарта работать;3;sim-cards;10.541654;-2.5839918
Здравствуйте. Как узнать остаток минут в тарифе Сатурн?;['здравствуйте', 'узнать', 'остаток', 'минута', 'тариф', 'сатурн'];здравствуйте узнать остаток минута тариф сатурн;1;balance_1;-16.434809;7.041308
Сколько стоит смена тарифа??;['сколько', 'стоить', 'смена', 'тариф'];сколько стоить смена тариф;2;costs;2.7544358;12.670722
доброе утро! не помню пин код;['добрый', 'утро', 'помнить', 'пин', 'код'];добрый утро помнить пин код;4;pin-codes;16.414621;1.0008978
Какая стоимость смс в столицу?;['стоимость', 'смс', 'столица'];стоимость смс столица;5;tariffs;-1.6575186;-10.400698
 ДОБРЫЙ ВЕЧЕР А ТАРИФ Сатурн СКОЛЬКО СТОИТ НА Тор;['добрый', 'вечер', 'тариф', 'сатурн', 'сколько', 'стоить', 'тор'];добрый вечер тариф сатурн сколько стоить тор;2;costs;1.18118;9.20546
Тариф Сатурн интернет по России бесплатный?или роуминг;['тариф', 'сатурн', 'интернет', 'россия', 'бесплатный', 'роуминг'];тариф сатурн интернет россия бесплатный роуминг;5;tariffs;-7.038235;-5.640039
"Здравствуйте! Меня интересует есть ли команды для проверки остатка пакета минут и сообщений на тарифе ""Сатурн""? Спасибо!";['здравствуйте', 'интересовать', 'команда', 'проверка', 'остаток', 'пакет', 'минута', 'сообщение', 'тариф', 'сатурн', 'спасибо'];здравствуйте интересовать команда проверка остаток пакет минута сообщение тариф сатурн спасибо;1;balance_1;-10.808015;2.235587
привет, а на Бахус сколько там всего бесплатного?;['привет', 'бахус', 'сколько', 'весь', 'бесплатный'];привет бахус сколько весь бесплатный;6;balance_2;-1.7885388;4.1454835
Почему-то телефон не находит сеть;['почему', 'телефон', 'находить', 'сеть'];почему телефон находить сеть;3;sim-cards;9.1653595;0.015243757
Здрасте, а скажите по России какова стоимость сообщений с тарифом Сатурн ?;['здравствуй', 'сказать', 'россия', 'каков', 'стоимость', 'сообщение', 'тариф', 'сатурн'];здравствуй сказать россия каков стоимость сообщение тариф сатурн;5;tariffs;-8.516551;-9.2680025
